area,latitude,longitude,severity,crime_type,hour
Shahdara,31.629934283060226,74.27723471397658,4,vehicle theft,20
Shahdara,31.615316932505536,74.27531726086102,4,snatching,23
Shahdara,31.60229539308617,74.27175623039057,4,assault,20
Shahdara,31.60838243731953,74.26949660385644,4,robbery,11
Shahdara,31.620444436532242,74.27144414172794,4,assault,15
Shahdara,31.614979120638285,74.2767226576701,5,snatching,11
Shahdara,31.671189760620756,74.2878846604376,4,robbery,18
Shahdara,31.6094975429774,74.31825542542718,5,vehicle theft,13
Shahdara,31.607994922997882,74.29894879642093,4,assault,19
Shahdara,31.635583852690303,74.257978044873,5,robbery,7
Shahdara,31.636450898242064,74.25558312700058,5,assault,5
Shahdara,31.626459995945567,74.25213166118255,4,snatching,17
Shahdara,31.624372766321077,74.29763522077897,5,snatching,7
Shahdara,31.635710642489965,74.33312020182544,5,vehicle theft,20
Shahdara,31.590429560192653,74.2656031158321,4,vehicle theft,12
Shahdara,31.626481679387897,74.27229835439168,4,robbery,6
Shahdara,31.58248646455587,74.25266435722227,5,vehicle theft,10
Shahdara,31.632726102166906,74.2618655866284,4,robbery,4
Shahdara,31.624231740246522,74.29194089292358,5,snatching,8
Shahdara,31.58983693420905,74.3019929395157,5,snatching,22
Shahdara,31.644243446842662,74.30466993609086,5,vehicle theft,21
Shahdara,31.618559797568395,74.30007065795785,4,snatching,13
Shahdara,31.629355895065263,74.29472244701338,4,snatching,13
Shahdara,31.687445925072534,74.26159218389866,4,assault,9
Shahdara,31.592385659514555,74.27438387416947,5,snatching,16
Shahdara,31.621835215530712,74.24024862170798,5,robbery,22
Shahdara,31.63745410195981,74.32574451965915,4,vehicle theft,12
Shahdara,31.615756771565767,74.27146262411921,5,vehicle theft,1
Shahdara,31.59066064229641,74.29785258943012,4,assault,11
Shahdara,31.647437242670996,74.2835110658791,5,robbery,6
Shahdara,31.614836304029275,74.2892191123084,4,assault,19
Shahdara,31.59301220053534,74.25961854429264,5,vehicle theft,8
Shahdara,31.658902312289737,74.27693327084968,5,vehicle theft,23
Shahdara,31.61677428576668,74.28808101713629,5,vehicle theft,8
Shahdara,31.606745233732436,74.27707054386516,5,vehicle theft,11
Shahdara,31.619628983909767,74.2465299075602,4,robbery,16
Shahdara,31.61871243898398,74.2868980467009,4,robbery,0
Shahdara,31.6486703097458,74.30131587417098,4,vehicle theft,5
Shahdara,31.63534593677413,74.25700414845011,4,vehicle theft,16
Shahdara,31.603963443133008,74.30768031437866,5,assault,5
Shahdara,31.64436100875513,74.27221083951393,5,robbery,8
Shahdara,31.60018927349739,74.26867404540795,4,snatching,19
Shahdara,31.59806495402846,74.26635396872159,5,snatching,18
Shahdara,31.605594040142826,74.27460132461849,4,robbery,7
Shahdara,31.632410964319234,74.27678125246274,4,snatching,17
Shahdara,31.636270344347395,74.25538271367132,5,vehicle theft,19
Shahdara,31.587850335308776,74.28369267717065,5,assault,11
Shahdara,31.640009712155244,74.28304841724518,4,robbery,8
Shahdara,31.64598793628529,74.26265707687901,4,vehicle theft,23
Shahdara,31.63841333431426,74.27546555088901,5,snatching,16
Shahdara,31.625861449465976,74.26571297163947,4,assault,13
Shahdara,31.657315490222896,74.28947665841824,5,robbery,8
Shahdara,31.593398518689707,74.27949424748857,5,vehicle theft,7
Shahdara,31.62848972488113,74.29881071169925,4,vehicle theft,11
Shahdara,31.66546690316035,74.28293949300915,5,assault,5
Shahdara,31.619771131050605,74.28826708175248,5,snatching,1
Shahdara,31.646006902959932,74.25312952471866,4,vehicle theft,0
Shahdara,31.6325133469553,74.26285684887168,4,vehicle theft,2
Shahdara,31.619768333604362,74.28381197410229,5,robbery,5
Shahdara,31.617517352222368,74.29480681635896,4,snatching,2
Shahdara,31.601009619096423,74.26806205336875,4,vehicle theft,2
Shahdara,31.624281874882605,74.25508522442576,4,assault,2
Shahdara,31.60232285127598,74.28307450211891,5,snatching,21
Shahdara,31.593886048919178,74.26498476313864,5,assault,16
Shahdara,31.628995480769774,74.31557848687773,5,snatching,2
Shahdara,31.63313594662328,74.25128198361251,5,assault,6
Shahdara,31.648747126566672,74.28014612745481,4,vehicle theft,13
Shahdara,31.62464592316353,74.28352361844105,4,snatching,1
Shahdara,31.623300455962188,74.26288142164341,5,snatching,21
Shahdara,31.611709363892203,74.28160397425081,5,assault,5
Shahdara,31.627088391702394,74.24239374823095,4,robbery,7
Shahdara,31.6056939258148,74.2935919549787,4,snatching,3
Shahdara,31.612171963758364,74.28876045194843,5,snatching,2
Shahdara,31.647268709819034,74.2965753195521,4,assault,9
Shahdara,31.6409603948799,74.26742860505048,4,snatching,22
Shahdara,31.605346155973923,74.26843446172072,5,snatching,8
Shahdara,31.61263100021827,74.28314403710195,5,robbery,14
Shahdara,31.626355340648743,74.24775545385651,5,robbery,7
Shahdara,31.62367711028819,74.29155794270197,4,snatching,4
Shahdara,31.593463364677284,74.31687431595503,5,assault,15
Shahdara,31.60639991331764,74.27473188310266,4,robbery,13
Shahdara,31.609014941852713,74.30193592508883,5,assault,4
Shahdara,31.652648226078632,74.25139717244079,4,vehicle theft,1
Shahdara,31.620036272223896,74.29511870563583,5,robbery,12
Shahdara,31.61595084948337,74.28121793214234,5,vehicle theft,19
Shahdara,31.582052460350226,74.30561081523355,5,robbery,0
Shahdara,31.629624354568563,74.28934114345458,5,snatching,0
Shahdara,31.6256198373547,74.26754600960359,4,assault,7
Shahdara,31.651098453532732,74.26037599329526,5,assault,18
Shahdara,31.607555256701875,74.27289022718168,4,assault,12
Shahdara,31.62897297348104,74.27842536632664,5,assault,4
Shahdara,31.634945872102467,74.29220740530867,4,snatching,15
Shahdara,31.61264474434694,74.26904553034082,5,vehicle theft,22
Shahdara,31.65105719551679,74.27120964249052,4,snatching,8
Shahdara,31.632657048747657,74.23491682640964,5,vehicle theft,21
Shahdara,31.608206942866257,74.27403397553672,5,vehicle theft,8
